taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7193874	Canis latrans latrans	7193874	Canis latrans latrans	44	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Canis	5219142	Canis latrans	5219153	
8638634	Mastodon proavus (Cope, 1873)	8638634	Mastodon proavus (Cope, 1873)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Proboscidea	799	Mammutidae	3240496	Mammut	3240497	Mastodon proavus	8638634	
9095878	Desmostylus sookensis (Cornwall, 1922)	9095878	Desmostylus sookensis (Cornwall, 1922)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359			Desmostylidae	4831533	Cornwallius	4831537	Desmostylus sookensis	9095878	
9930556	BOLD:AAF5109	9930556	BOLD:AAF5109	28	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Vespertilionidae	9368	Myotis	2432384			
9937262	BOLD:AAD9012	9937262	BOLD:AAD9012	6	UNRANKED	DOUBTFUL	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Pekania	4833759	Pekania pennanti	8631083	
10454125	BOLD:AAA3426	10454125	BOLD:AAA3426	105	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Lemmus	5219834	Lemmus trimucronatus	5219836	
2439139	Clethrionomys rutilus (Pallas, 1779)	5706762	Myodes rutilus (Pallas, 1779)	2475	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Myodes	2438724	Myodes rutilus	5706762	LC
4830991	Neosorex Baird, 1857	2435935	Sorex Linnaeus, 1758	1	GENUS	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Sorex	2435935			
4835232	Hendryomeryx Black, 1978	4835232	Hendryomeryx Black, 1978	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Hypertragulidae	4835221	Hendryomeryx	4835232			
4969213	Equus niobrarensis Hay, 1913	4969213	Equus niobrarensis Hay, 1913	98	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Perissodactyla	795	Equidae	5479	Equus	8652950	Equus niobrarensis	4969213	
4970370	Camelops hesternus (Leidy, 1873)	9557469	Auchenia hesterna (Leidy, 1873)	139	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Camelidae	5716	Camelops	4835773	Auchenia hesterna	9557469	
5218991	Mustela nivalis allegheniensis (Rhoads, 1901)	5218991	Mustela nivalis allegheniensis (Rhoads, 1901)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Mustela	2433922	Mustela nivalis	5218987	
6164204	Canis lupus occidentalis Richardson, 1829	6164204	Canis lupus occidentalis Richardson, 1829	136	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Canis	5219142	Canis lupus	5219173	
8504073	Palaeolagidae	8504073	Palaeolagidae	1	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Lagomorpha	785	Palaeolagidae	8504073					
2433487	Callorhinus ursinus (Linnaeus, 1758)	2433487	Callorhinus ursinus (Linnaeus, 1758)	43	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Otariidae	5309	Callorhinus	2433486	Callorhinus ursinus	2433487	VU
4266359	Myotis yumanensis sociabilis H.W.Grinnell, 1914	4266359	Myotis yumanensis sociabilis H.W.Grinnell, 1914	70	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Vespertilionidae	9368	Myotis	2432384	Myotis yumanensis	2432461	
4974074	Ectocion osbornianus (Cope, 1882)	9432800	Oligotomus osbornianus (Cope, 1882)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359			Phenacodontidae	3239507	Ectocion	4829885	Oligotomus osbornianus	9432800	
5220136	Dama dama (Linnaeus, 1758)	5220136	Dama dama (Linnaeus, 1758)	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Cervidae	5298	Dama	8397832	Dama dama	5220136	LC
8520769	Sespia Schultz & Falkenbach, 1968	8520769	Sespia Schultz & Falkenbach, 1968	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Merycoidodontidae	3240455	Sespia	8520769			
9250698	Sorex brevicaudus (Say, 1823)	2435862	Blarina brevicauda (Say, 1823)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Blarina	2435858	Blarina brevicauda	2435862	
10203274	BOLD:AAB5105	10203274	BOLD:AAB5105	25	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Cervidae	5298	Odocoileus	2440964			
2440362	Monodon Linnaeus, 1758	2440362	Monodon Linnaeus, 1758	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Cetacea	733	Monodontidae	5445	Monodon	2440362			
4829234	Plesiosminthus Viret, 1926	4829234	Plesiosminthus Viret, 1926	3	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Dipodidae	9435	Plesiosminthus	4829234			
4831433	Parectypodus Jepson, 1930	4831433	Parectypodus Jepson, 1930	7	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359			Ptilodontidae	4831421	Parectypodus	4831433			
7194140	Lepus arcticus arcticus	7194140	Lepus arcticus arcticus	112	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Lagomorpha	785	Leporidae	9379	Lepus	2436691	Lepus arcticus	2436696	
8813287	Urocitellus parryii osgoodi (Merriam, 1900)	8813287	Urocitellus parryii osgoodi (Merriam, 1900)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Urocitellus	4827933	Urocitellus parryii	8303143	
10563367	BOLD:AAE2969	10563367	BOLD:AAE2969	3	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Geomyidae	9437	Thomomys	2439381	Thomomys talpoides	2439383	
10593188	BOLD:AAJ5647	10593188	BOLD:AAJ5647	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Sciurus	2437489	Sciurus niger	5219683	
2432953	Rousettus aegyptiacus (E.Geoffroy, 1810)	2432953	Rousettus aegyptiacus (E.Geoffroy, 1810)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Pteropodidae	9367	Rousettus	2432946	Rousettus aegyptiacus	2432953	LC
2435104	Felis concolor Linnaeus, 1771	2435099	Puma concolor (Linnaeus, 1771)	6	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Puma	2435098	Puma concolor	2435099	LC
4826572	Desmatoclaenus Gazin, 1941	4826572	Desmatoclaenus Gazin, 1941	2	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359			Arctocyonidae	3239418	Desmatoclaenus	4826572			
4835769	Poebrotherium Leidy, 1847	4835769	Poebrotherium Leidy, 1847	4	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Camelidae	5716	Poebrotherium	4835769			
