code,gbifname,gbifid,equal
Nomascus_siki,Nomascus siki,4267266,true
Microtus_middendorffii,Microtus middendorffi,2438620,false
Cephalophus_harveyi,Cephalophus natalensis,2441168,false
Rhinolophus_fumigatus,Rhinolophus fumigatus,2432645,true
Paulamys_naso,Paulamys naso,2438571,true
Praomys_delectorum,Praomys delectorum,2438472,true
Microgale_thomasi,Microgale thomasi,2432119,true
Sorex_mediopua,Sorex mediopua,5787797,true
Notomys_longicaudatus,Notomys longicaudatus,2438977,true
Miniopterus_tristis,Miniopterus tristis,2432505,true
Pronolagus_crassicaudatus,Pronolagus crassicaudatus,2436924,true
Chiropotes_chiropotes,Chiropotes chiropotes,5707307,true
Sylvicapra_grimmia,Sylvicapra grimmia,2441187,true
Anoura_canishina,Anoura carishina,8190639,false
Gerbillurus_vallinus,Gerbillurus vallinus,2438750,true
Nothrotheriops_shastensis,Nothrotherium shastense,8589600,false
Pipistrellus_raceyi,Pipistrellus raceyi,5787627,true
Oligoryzomys_griseolus,Oligoryzomys griseolus,2438282,true
Artibeus_fimbriatus,Artibeus fimbriatus,2433268,true
Acomys_russatus,Acomys russatus,2438257,true
Calomys_laucha,Calomys laucha,9719395,true
Bassaricyon_gabbii,Bassaricyon gabbii,2433585,true
Paracynictis_selousi,Paracynictis selousi,2434109,true
Ovis_aries,Ovis aries,2441110,true
Monodelphis_kunsi,Monodelphis kunsi,2439966,true
Mico_humeralifer,Mico humeralifer,5786463,true
Funisciurus_substriatus,Funisciurus substriatus,2437417,true
Dermanura_glaucus,Artibeus glaucus,2433262,false
Volemys_musseri,Volemys musseri,2438236,true
Zaglossus_bartoni,Zaglossus bartoni,2433385,true
Hylomyscus_vulcanorum,Hylomyscus vulcanorum,10868226,true
Oecomys_trinitatis,Oecomys trinitatis,2439310,true
Leopardus_geoffroyi,Leopardus geoffroyi,2434942,true
Nycticebus_kayan,Nycticebus kayan,8086079,true
