from,to,score_normal,score,pair,int
Martes americana,Dicrostonyx nunatakensis,0.81595,1.0,false,false
Martes americana,Dicrostonyx richardsoni,0.83035,1.0,false,false
Martes americana,Lemmiscus curtatus,0.80765,1.0,false,false
Martes americana,Lemmus trimucronatus,0.9048,1.0,false,false
Martes americana,Microtus chrotorrhinus,0.8155,1.0,false,false
Martes americana,Microtus longicaudus,0.91295,1.0,false,false
Martes americana,Microtus miurus,0.92645,1.0,false,false
Martes americana,Microtus montanus,0.81765,1.0,false,false
Martes americana,Microtus ochrogaster,0.79945,1.0,false,false
Martes americana,Microtus oeconomus,0.866,1.0,false,false
Martes americana,Microtus oregoni,0.8178,1.0,false,false
Martes americana,Microtus pennsylvanicus,0.76785,1.0,false,false
Martes americana,Microtus pinetorum,0.9152,1.0,false,false
Martes americana,Microtus richardsoni,0.89315,1.0,false,false
Martes americana,Microtus townsendii,0.94385,1.0,false,false
Martes americana,Microtus xanthognathus,0.8234,1.0,false,false
Martes americana,Mus musculus,0.76245,1.0,false,false
Martes americana,Myodes gapperi,0.8685,1.0,false,false
Martes americana,Myodes rutilus,0.80395,1.0,false,false
Martes americana,Ondatra zibethicus,0.8273,1.0,false,false
Martes americana,Phenacomys intermedius,0.82455,1.0,false,false
Martes americana,Phenacomys ungava,0.8131,1.0,false,false
Martes americana,Sorex arcticus,0.86115,1.0,false,false
Martes americana,Sorex haydeni,0.77345,1.0,false,false
Martes americana,Sorex hoyi,0.88485,1.0,false,false
Martes americana,Sorex maritimensis,0.9105,1.0,false,false
Martes americana,Sorex merriami,0.8259,1.0,false,false
Martes americana,Sorex trowbridgii,0.83815,1.0,false,false
Martes americana,Sorex tundrensis,0.8325,1.0,false,false
Martes americana,Synaptomys borealis,0.85125,1.0,false,false
Martes americana,Synaptomys cooperi,0.7916,1.0,false,false
Martes pennanti,Dicrostonyx groenlandicus,0.899,1.0,false,false
Martes pennanti,Dicrostonyx hudsonius,0.90165,1.0,false,false
Martes pennanti,Dicrostonyx nunatakensis,0.88135,1.0,false,false
Martes pennanti,Dicrostonyx richardsoni,0.89885,1.0,false,false
Martes pennanti,Lemmiscus curtatus,0.85365,1.0,false,false
Martes pennanti,Lemmus trimucronatus,0.9435,1.0,false,false
Martes pennanti,Microtus chrotorrhinus,0.8665,1.0,false,false
Martes pennanti,Microtus longicaudus,0.9557,1.0,false,false
Martes pennanti,Microtus miurus,0.9662,1.0,false,false
Martes pennanti,Microtus montanus,0.8761,1.0,false,false
Martes pennanti,Microtus ochrogaster,0.84635,1.0,false,false
Martes pennanti,Microtus oeconomus,0.91515,1.0,false,false
Martes pennanti,Microtus oregoni,0.88345,1.0,false,false
Martes pennanti,Microtus pennsylvanicus,0.81365,1.0,false,false
Martes pennanti,Microtus pinetorum,0.95635,1.0,false,false
Martes pennanti,Microtus richardsoni,0.939,1.0,false,false
Martes pennanti,Microtus townsendii,0.97425,1.0,false,false
Martes pennanti,Microtus xanthognathus,0.87245,1.0,false,false
Martes pennanti,Mus musculus,0.7966,1.0,false,false
Martes pennanti,Myodes gapperi,0.9192,1.0,false,false
Martes pennanti,Myodes rutilus,0.8426,1.0,false,false
Martes pennanti,Ondatra zibethicus,0.8775,1.0,false,false
Martes pennanti,Phenacomys intermedius,0.8664,1.0,false,false
Martes pennanti,Phenacomys ungava,0.8577,1.0,false,false
Martes pennanti,Sorex arcticus,0.9151,1.0,false,false
Martes pennanti,Sorex haydeni,0.82425,1.0,false,false
Martes pennanti,Sorex hoyi,0.94445,1.0,false,false
Martes pennanti,Sorex maritimensis,0.96595,1.0,false,false
Martes pennanti,Sorex merriami,0.8805,1.0,false,false
Martes pennanti,Sorex trowbridgii,0.9098,1.0,false,false
Martes pennanti,Sorex tundrensis,0.8933,1.0,false,false
Martes pennanti,Synaptomys borealis,0.89325,1.0,false,false
Martes pennanti,Synaptomys cooperi,0.8364,1.0,false,false
Mephitis mephitis,Microtus miurus,0.70675,1.0,false,false
Mustela frenata,Castor canadensis,0.8266,1.0,false,false
Mustela frenata,Dicrostonyx groenlandicus,0.99705,1.0,false,false
Mustela frenata,Dicrostonyx hudsonius,0.9838,1.0,false,false
Mustela frenata,Dicrostonyx nunatakensis,0.9758,1.0,false,false
Mustela frenata,Dicrostonyx richardsoni,0.9866,1.0,false,false
Mustela frenata,Lemmiscus curtatus,0.9312,1.0,false,false
Mustela frenata,Lemmus trimucronatus,0.99335,1.0,false,false
Mustela frenata,Lepus americanus,0.9607,1.0,false,false
Mustela frenata,Lepus arcticus,0.8188,1.0,false,false
Mustela frenata,Lepus townsendii,0.7885,1.0,false,false
Mustela frenata,Microtus chrotorrhinus,0.9367,1.0,false,false
Mustela frenata,Microtus longicaudus,0.99765,1.0,false,false
Mustela frenata,Microtus miurus,0.9992,1.0,false,false
Mustela frenata,Microtus montanus,0.96825,1.0,false,false
Mustela frenata,Microtus ochrogaster,0.9213,1.0,false,false
Mustela frenata,Microtus oeconomus,0.99575,1.0,false,false
Mustela frenata,Microtus oregoni,0.9893,1.0,false,false
Mustela frenata,Microtus pennsylvanicus,0.9063,1.0,false,false
Mustela frenata,Microtus pinetorum,0.99855,1.0,false,false
Mustela frenata,Microtus richardsoni,0.9935,1.0,false,false
Mustela frenata,Microtus townsendii,1.0,1.0,false,false
Mustela frenata,Microtus xanthognathus,0.94905,1.0,false,false
Mustela frenata,Mus musculus,0.8741,1.0,false,false
Mustela frenata,Myodes gapperi,0.9884,1.0,false,false
Mustela frenata,Myodes rutilus,0.92355,1.0,false,false
Mustela frenata,Ondatra zibethicus,0.96825,1.0,false,false
Mustela frenata,Phenacomys intermedius,0.94545,1.0,false,false
Mustela frenata,Phenacomys ungava,0.93165,1.0,false,false
Mustela frenata,Sorex arcticus,0.98655,1.0,false,false
Mustela frenata,Sorex haydeni,0.91715,1.0,false,false
Mustela frenata,Sorex hoyi,0.999,1.0,false,false
Mustela frenata,Sorex maritimensis,0.99995,1.0,false,false
Mustela frenata,Sorex merriami,0.97955,1.0,false,false
Mustela frenata,Sorex trowbridgii,0.9994,1.0,false,false
Mustela frenata,Sorex tundrensis,0.98295,1.0,false,false
Mustela frenata,Synaptomys borealis,0.95785,1.0,false,false
Mustela frenata,Synaptomys cooperi,0.90205,1.0,false,false
Mustela nigripes,Lemmiscus curtatus,0.7028,1.0,false,false
Mustela nigripes,Lemmus trimucronatus,0.8221,1.0,false,false
Mustela nigripes,Microtus chrotorrhinus,0.71715,1.0,false,false
Mustela nigripes,Microtus longicaudus,0.8413,1.0,false,false
Mustela nigripes,Microtus miurus,0.8458,1.0,false,false
Mustela nigripes,Microtus montanus,0.75065,1.0,false,false
Mustela nigripes,Microtus ochrogaster,0.7032,1.0,false,false
Mustela nigripes,Microtus oeconomus,0.74615,1.0,false,false
Mustela nigripes,Microtus pinetorum,0.83575,1.0,false,false
Mustela nigripes,Microtus richardsoni,0.8202,1.0,false,false
Mustela nigripes,Microtus townsendii,0.8478,1.0,false,false
Mustela nigripes,Mus musculus,0.7155,1.0,false,false
Mustela nigripes,Myodes gapperi,0.7637,1.0,false,false
Mustela nigripes,Myodes rutilus,0.7295,1.0,false,false
Mustela nigripes,Ondatra zibethicus,0.78,1.0,false,false
Mustela nigripes,Phenacomys intermedius,0.8161,1.0,false,false
Mustela nigripes,Phenacomys ungava,0.8035,1.0,false,false
Mustela nigripes,Synaptomys borealis,0.7703,1.0,false,false
Mustela nigripes,Synaptomys cooperi,0.7236,1.0,false,false
Mustela nigripes,Tamias amoenus,0.76985,1.0,false,false
Mustela subpalmata,Castor canadensis,0.859,1.0,false,false
Mustela subpalmata,Lemmiscus curtatus,0.79265,1.0,false,false
Mustela subpalmata,Lemmus trimucronatus,0.9312,1.0,false,false
Mustela subpalmata,Microtus chrotorrhinus,0.80215,1.0,false,false
Mustela subpalmata,Microtus longicaudus,0.95425,1.0,false,false
Mustela subpalmata,Microtus miurus,0.9601,1.0,false,false
Mustela subpalmata,Microtus montanus,0.8705,1.0,false,false
Mustela subpalmata,Microtus ochrogaster,0.7866,1.0,false,false
Mustela subpalmata,Microtus oeconomus,0.8827,1.0,false,false
Mustela subpalmata,Microtus oregoni,0.88175,1.0,false,false
Mustela subpalmata,Microtus pennsylvanicus,0.79785,1.0,false,false
Mustela subpalmata,Microtus pinetorum,0.95115,1.0,false,false
Mustela subpalmata,Microtus richardsoni,0.93685,1.0,false,false
Mustela subpalmata,Microtus townsendii,0.9689,1.0,false,false
Mustela subpalmata,Microtus xanthognathus,0.81365,1.0,false,false
Mustela subpalmata,Mus musculus,0.8029,1.0,false,false
Mustela subpalmata,Myodes gapperi,0.87725,1.0,false,false
Mustela subpalmata,Myodes rutilus,0.8363,1.0,false,false
Mustela subpalmata,Ondatra zibethicus,0.90335,1.0,false,false
Mustela subpalmata,Phenacomys intermedius,0.9262,1.0,false,false
Mustela subpalmata,Phenacomys ungava,0.91335,1.0,false,false
Mustela subpalmata,Sorex arcticus,0.79775,1.0,false,false
Mustela subpalmata,Sorex maritimensis,0.872,1.0,false,false
Mustela subpalmata,Sorex merriami,0.78195,1.0,false,false
Mustela subpalmata,Synaptomys borealis,0.87725,1.0,false,false
Mustela subpalmata,Synaptomys cooperi,0.81695,1.0,false,false
Mustela subpalmata,Tamias amoenus,0.8938,1.0,false,false
Neovison vison,Dicrostonyx groenlandicus,0.98055,1.0,false,false
Neovison vison,Dicrostonyx hudsonius,0.96365,1.0,false,false
Neovison vison,Dicrostonyx nunatakensis,0.9529,1.0,false,false
Neovison vison,Dicrostonyx richardsoni,0.9656,1.0,false,false
Neovison vison,Lemmiscus curtatus,0.9127,1.0,false,false
Neovison vison,Lemmus trimucronatus,0.98815,1.0,false,false
Neovison vison,Lepus americanus,0.8719,1.0,false,false
Neovison vison,Microtus chrotorrhinus,0.9204,1.0,false,false
Neovison vison,Microtus longicaudus,0.9923,1.0,false,false
Neovison vison,Microtus miurus,0.9963,1.0,false,false
Neovison vison,Microtus montanus,0.94585,1.0,false,false
Neovison vison,Microtus ochrogaster,0.90475,1.0,false,false
